origin_idx,origin_date,gamma,c,phi1,phi2,n_successful_starts,converged
0,2022-04-20,0.739677,-4.946548,"[-1.3783449109742782, 0.6501633028913393]","[-0.13842406708539973, 1.0052116465416971]",14,True
22,2022-05-20,0.876524,-4.891648,"[-1.3426129956493449, 0.6678429024399247]","[-0.17896360982703605, 0.9915268463600043]",13,True
44,2022-06-23,0.948818,-4.937813,"[-1.3092578182279404, 0.6748653412200343]","[-0.22324136605474157, 0.9786853416870442]",14,True
66,2022-07-26,1.044181,-5.874692,"[9.566083834360686, 2.447223311018433]","[-0.19766353500602638, 0.9906950817993699]",20,True
88,2022-08-25,1.040122,-5.874692,"[9.193292077502162, 2.3826832040695596]","[-0.20621765108361956, 0.9884075659165974]",19,True
110,2022-09-27,0.999845,-5.874692,"[7.160439675400247, 2.0312019142968176]","[-0.24512579037781615, 0.9782465332586162]",20,True
132,2022-10-27,1.260236,-5.874692,"[10.535606942871178, 2.633752204464146]","[-0.36485361431116514, 0.9410822749024733]",20,True
154,2022-11-29,1.249880,-5.874692,"[10.825009986861907, 2.682500218950096]","[-0.36974839207712357, 0.9402389220020853]",20,True
176,2022-12-30,0.793079,-5.402934,"[-0.3355822342742605, 0.802916201075799]","[-0.25931609265956135, 0.9750128378145007]",20,True
198,2023-02-02,0.389212,-5.874692,"[-1.0457958245155041, 0.5699336829849425]","[-0.025609234596698102, 1.0601178877568334]",20,True
220,2023-03-07,0.394525,-5.768494,"[-1.2704194184903193, 0.5517617720086372]","[-0.025465859491178054, 1.0547952833052843]",20,True
242,2023-04-06,0.488503,-5.524939,"[-1.0881768805752015, 0.6329531939101346]","[-0.11756429311231634, 1.0215469820230902]",20,True
264,2023-05-09,0.447016,-5.395394,"[-1.3132475929239265, 0.5990428829954481]","[-0.06190524483211212, 1.038009364392565]",18,True
286,2023-06-09,0.510650,-5.437449,"[-0.33164949076427847, 0.7669383617788149]","[-0.06040640811021271, 1.0465204709150082]",20,True
308,2023-07-13,0.459398,-5.136087,"[-1.4496346379173888, 0.6020753938066833]","[-0.05989562181741078, 1.0340646054373452]",19,True
330,2023-08-14,0.570067,-5.118482,"[-1.2390414020737333, 0.6524491518943654]","[-0.13994265820083288, 1.0099388372754172]",17,True
352,2023-09-14,0.823119,-5.172566,"[-0.08944505118642716, 0.871660529832567]","[-0.1961868895546623, 0.9943751390566286]",15,True
374,2023-10-16,50.000000,-4.507421,"[-1.533473830935618, 0.6661961321898415]","[-0.46896249894019326, 0.9092069595237037]",18,True
396,2023-11-15,50.000000,-4.506887,"[-1.54216134436478, 0.6640748980501526]","[-0.48249915858993925, 0.9059495601723232]",20,True
418,2023-12-18,50.000000,-4.507546,"[-1.5146504929873266, 0.6696729183358556]","[-0.48151198203386536, 0.9062062897613183]",16,True
440,2024-01-22,50.000000,-4.508372,"[-1.4264813054000456, 0.6881170559745081]","[-0.483161503708638, 0.9058546607954291]",20,True
462,2024-02-22,50.000000,-4.508277,"[-1.4515238544772593, 0.6829628860122838]","[-0.49197289038588105, 0.903486515264678]",20,True
484,2024-03-25,50.000000,-4.506588,"[-1.5079786937683266, 0.671471618256133]","[-0.4853984490621465, 0.9050207385753616]",20,True
506,2024-04-25,50.000000,-4.506524,"[-1.5167665877265577, 0.6692449186948194]","[-0.4893296912951004, 0.9041333992080357]",20,True
528,2024-05-28,50.000000,-4.506194,"[-1.5039491112439693, 0.6720239483838646]","[-0.4596243536013594, 0.9117145315304412]",20,True
550,2024-06-28,0.914632,-4.882796,"[-0.3117499278138714, 0.8622745529434875]","[-0.13872382435433667, 1.008307586996612]",20,True
572,2024-07-31,50.000000,-4.506539,"[-1.5352324116830198, 0.665962162699939]","[-0.43971671717813826, 0.9169196776752646]",20,True
594,2024-08-30,50.000000,-4.506384,"[-1.5489260895388064, 0.6632051591248465]","[-0.4332673393712028, 0.9181845030354095]",20,True
616,2024-10-02,0.579280,-4.921919,"[-0.33364372090324584, 0.8257069742257072]","[0.005477788901306926, 1.0660371944356108]",17,True
638,2024-11-01,0.630171,-5.262656,"[1.2287806952119007, 1.0755806039976694]","[0.01212810007735889, 1.0726804911616197]",15,True
660,2024-12-04,0.738421,-5.010481,"[0.30683683141177304, 0.9511073525734292]","[-0.05302510192957099, 1.043957353849872]",20,True
