Model,AAPL_MSE,AAPL_QLIKE,AMZN_MSE,AMZN_QLIKE,JPM_MSE,JPM_QLIKE,Avg_MSE,Avg_QLIKE
ARFIMA,0.0615,0.1433,0.0523,0.1160,0.0570,0.1394,0.0569,0.1329
ARFIMAX,0.0589,0.1363,0.0537,0.1085,0.0590,0.1453,0.0572,0.1300
HAR,0.0627,0.1466,0.0526,0.1181,0.0579,0.1423,0.0578,0.1357
NARX,0.0632,0.1420,0.0539,0.1151,0.0565,0.1399,0.0579,0.1323
AR,0.0631,0.1485,0.0544,0.1239,0.0590,0.1437,0.0588,0.1387
NAR,0.0621,0.1448,0.0566,0.1280,0.0592,0.1458,0.0593,0.1395
LSTM,0.0629,0.1452,0.0558,0.1256,0.0593,0.1436,0.0594,0.1381
LSTAR,0.0716,0.1637,0.0633,0.1497,0.0647,0.1535,0.0665,0.1556
JNN,0.0750,0.1818,0.0606,0.1405,0.0707,0.1585,0.0688,0.1603
FNN,0.0810,0.2124,0.0582,0.1322,0.0685,0.1674,0.0693,0.1707
ENN,0.0778,0.1670,0.0781,0.1964,0.0627,0.1473,0.0729,0.1702
RW,0.0821,0.1873,0.0685,0.1504,0.0741,0.1764,0.0749,0.1714
